country_code,id_mep,name,full_term
DEU,400,Marlene MORTLER,1
LUX,401,Nicolas SCHMIT,0
DEU,402,Marion WALSMANN,1
DEU,403,Engin EROGLU,1
DEU,404,Patrick BREYER,1
DEU,405,Jan-Christoph OETJEN,1
DEU,406,Katarina BARLEY,1
DEU,407,Martin BUSCHMANN,1
DEU,408,Gabriele BISCHOFF,1
DEU,409,Helmut GEUKING,0
DEU,410,Nicola BEER,0
HRV,411,Mislav KOLAKUŠIĆ,1
DEU,412,Damian BOESELAGER,1
DEU,413,Delara BURKHARDT,1
HRV,414,Predrag Fred MATIĆ,1
DEU,415,Andreas GLÜCK,1
DEU,416,Svenja HAHN,1
DEU,417,Moritz KÖRNER,1
SVN,418,Milan BRGLEZ,1
SVN,419,Irena JOVEVA,1
DEU,420,Rasmus ANDRESEN,1
DEU,421,Michael BLOSS,1
DEU,422,Viola VON CRAMON-TAUBADEL,1
SVN,423,Klemen GROŠELJ,1
DEU,424,Anna DEPARNAY-GRUNENBERG,1
BEL,425,Cindy FRANSSEN,1
DEU,426,Henrike HAHN,1
BEL,427,Benoît LUTGEN,1
DEU,428,Pierrette HERZBERGER-FOFANA,1
DEU,429,Sergey LAGODINSKY,1
DEU,430,Katrin LANGENSIEPEN,1
DEU,431,Erik MARQUARDT,1
BEL,432,Olivier CHASTEL,1
DEU,433,Hannah NEUMANN,1
DEU,434,Niklas NIENASS,1
DEU,435,Jutta PAULUS,1
BEL,436,Geert BOURGEOIS,1
DEU,437,Özlem DEMIREL,1
BEL,438,Assita KANKO,1
BEL,439,Saskia BRICMONT,1
BEL,440,Petra DE SUTTER,0
BEL,441,Filip DE MAN,1
DEU,442,Christian DOLESCHAL,1
DEU,443,Christine ANDERSON,1
DEU,444,Lars Patrick BERG,1
DEU,445,Nicolaus FEST,1
DEU,446,Maximilian KRAH,1
DEU,447,Joachim KUHS,1
DEU,448,Sylvia LIMMER,1
DEU,449,Guido REIL,1
DEU,450,Bernhard ZIMNIOK,1
POL,451,Magdalena ADAMOWICZ,1
EST,452,Marina KALJURAND,1
POL,453,Bartosz ARŁUKOWICZ,0
EST,454,Jaak MADISON,1
FRA,455,Nathalie LOISEAU,1
POL,456,Marek Paweł BALT,1
POL,457,Marek BELKA,1
EST,458,Sven MIKSER,1
POL,459,Robert BIEDROŃ,1
FRA,460,Chrysoula ZACHAROPOULOU,0
FRA,461,Mounir SATOURI,1
POL,462,Joachim Stanisław BRUDZIŃSKI,1
FRA,463,Marie-Pierre VEDRENNE,1
FRA,464,David CORMAND,1
FRA,465,Jérémy DECERLE,1
FRA,466,Catherine CHABAUD,1
FRA,467,Caroline ROOSE,1
POL,468,Włodzimierz CIMOSZEWICZ,1
FRA,469,Stéphane SÉJOURNÉ,0
POL,470,Jarosław DUDA,1
FRA,471,Salima YENBOU,1
FRA,472,Benoît BITEAU,1
POL,473,Tomasz FRANKOWSKI,1
POL,474,Andrzej HALICKI,1
DNK,475,Pernille WEISS,1
POL,476,Patryk JAKI,1
POL,477,Adam JARUBAS,1
POL,478,Krzysztof JURGIEL,1
POL,479,Beata KEMPA,1
POL,480,Izabela-Helena KLOC,1
FRA,481,Manuel BOMPARD,0
CZE,482,Radka MAXOVÁ,1
POL,483,Łukasz KOHUT,1
POL,484,Ewa KOPACZ,1
CZE,485,Martin HLAVÁČEK,1
FRA,486,Anne-Sophie PELLETIER,1
CZE,487,Ondřej KNOTEK,1
FRA,488,Leila CHAIBI,1
POL,489,Joanna KOPCIŃSKA,1
FRA,490,Gwendoline DELBOS-CORFIELD,1
POL,491,Elżbieta KRUK,1
FRA,492,Manon AUBRY,1
FRA,493,François-Xavier BELLAMY,1
FRA,494,Agnès EVREN,0
FRA,495,Nathalie COLIN-OESTERLÉ,1
CZE,496,Alexandr VONDRA,1
POL,497,Beata MAZUREK,1
CZE,498,Mikuláš PEKSA,1
POL,499,Leszek MILLER,1
POL,500,Andżelika Anna MOŻDŻANOWSKA,1
POL,501,Janina OCHOJSKA,1
FRA,502,Bernard GUETTA,1
POL,503,Elżbieta RAFALSKA,1
POL,504,Bogdan RZOŃCA,1
CZE,505,Marcel KOLAJA,1
FRA,506,Irène TOLLERET,1
POL,507,Radosław SIKORSKI,0
CZE,508,Markéta GREGOROVÁ,1
POL,509,Sylwia SPUREK,1
FRA,510,Stéphane BIJOUX,1
CZE,511,Veronika VRECIONOVÁ,1
POL,512,Beata SZYDŁO,1
ESP,513,Luis GARICANO,0
DNK,514,Søren GADE,0
CZE,515,Ivan DAVID,1
FRA,516,Christophe GRUDLER,1
DNK,517,Asger CHRISTENSEN,1
POL,518,Grzegorz TOBISZOWSKI,1
FIN,519,Mauri PEKKARINEN,1
CZE,520,Hynek BLAŠKO,1
POL,521,Witold Jan WASZCZYKOWSKI,1
DNK,522,Karen MELCHIOR,1
DNK,523,Peter KOFOD,0
DNK,524,Nikolaj VILLUMSEN,1
POL,525,Anna ZALEWSKA,1
DNK,526,Kira Marie PETER-HANSEN,1
FRA,527,Damien CARÊME,1
FRA,528,Sylvie BRUNET,1
FRA,529,Gilles BOYER,1
ITA,530,Silvia SARDONE,1
HUN,531,Klára DOBREV,1
ITA,532,Isabella TOVAGLIERI,1
FRA,533,Stéphanie YON-COURTIN,1
ITA,534,Gianna GANCIA,1
HUN,535,Sándor RÓNAI,1
